Results	Entity	Line	Column	CheckID	Check Name	Ignored	Note
Iteration-statement or selection-statement not a compound-statement	finish	113	8	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement		
Discarded Return Values	finish	114	16	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Iteration-statement or selection-statement not a compound-statement	finish	115	8	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement		
Discarded Return Values	finish	116	16	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Iteration-statement or selection-statement not a compound-statement	finish	117	8	MISRA12_15.6	15.6 The body of an iteration-statement or a selection-statement shall be a compound-statement		
Discarded Return Values	finish	118	16	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Else If with no following Else	finish	120	8	MISRA12_15.7	15.7 All if … else if constructs shall be terminated with an else statement		
Function or object drawscore, has external linkage but is only used in the translation unit built from nInvaders.c.	drawscore	125	5	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"Keyword """"void"""" not used to denote empty parameter list for function drawscore"	drawscore	125	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Function or object readInput, has external linkage but is only used in the translation unit built from nInvaders.c.	readInput	134	5	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"C Function """"readInput"""" appears to have internal linkage within nInvaders.c, so static keyword should be used."	readInput	134	5	MISRA12_8.8	8.8 The static storage class specifier shall be used in all declarations of objects and functions that have internal linkage		
"Keyword """"void"""" not used to denote empty parameter list for function readInput"	readInput	134	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Object or function readInput, has external linkage but no visible declaration	readInput	134	5	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
"Violation: basic numerical type """"int"""" used."	ch	136	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	lastmove	137	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Identifier wgetch, does not have a definition	wgetch	139	13	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Else If with no following Else	readInput	161	16	MISRA12_15.7	15.7 All if … else if constructs shall be terminated with an else statement		
Unconditional throw or break statement does not terminate non-empty switch-clause.	readInput	175	24	MISRA12_16.3	16.3 An unconditional break statement shall terminate every switch-clause		
Function or object handleTimer, has external linkage but is only used in the translation unit built from nInvaders.c.	handleTimer	209	5	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"C Function """"handleTimer"""" appears to have internal linkage within nInvaders.c, so static keyword should be used."	handleTimer	209	5	MISRA12_8.8	8.8 The static storage class specifier shall be used in all declarations of objects and functions that have internal linkage		
"Keyword """"void"""" not used to denote empty parameter list for function handleTimer"	handleTimer	209	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Object or function handleTimer, has external linkage but no visible declaration	handleTimer	209	5	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
"Violation: basic numerical type """"int"""" used."	aliens_move_counter	211	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	aliens_shot_counter	212	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	player_shot_counter	213	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	ufo_move_counter	214	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	title_animation_counter	215	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	game_over_counter	216	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Improper '++' declaration.		222	23	MISRA12_13.3	13.3 A full expression containing an increment (++) or decrement (--) operator should have no other potential side effects other than that caused by the increment or decrement operator		
Unconditional throw or break statement does not terminate non-empty switch-clause.	handleTimer	235	16	MISRA12_16.3	16.3 An unconditional break statement shall terminate every switch-clause		
Improper '++' declaration.		272	42	MISRA12_13.3	13.3 A full expression containing an increment (++) or decrement (--) operator should have no other potential side effects other than that caused by the increment or decrement operator		
Improper '++' declaration.		273	42	MISRA12_13.3	13.3 A full expression containing an increment (++) or decrement (--) operator should have no other potential side effects other than that caused by the increment or decrement operator		
Improper '++' declaration.		274	42	MISRA12_13.3	13.3 A full expression containing an increment (++) or decrement (--) operator should have no other potential side effects other than that caused by the increment or decrement operator		
Improper '++' declaration.		275	39	MISRA12_13.3	13.3 A full expression containing an increment (++) or decrement (--) operator should have no other potential side effects other than that caused by the increment or decrement operator		
Improper '++' declaration.		303	46	MISRA12_13.3	13.3 A full expression containing an increment (++) or decrement (--) operator should have no other potential side effects other than that caused by the increment or decrement operator		
Switch Incorrect: No default case	handleTimer	306	8	MISRA12_16.4	16.4 Every switch statement shall have a default label		
Function or object setUpTimer, has external linkage but is only used in the translation unit built from nInvaders.c.	setUpTimer	313	5	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"C Function """"setUpTimer"""" appears to have internal linkage within nInvaders.c, so static keyword should be used."	setUpTimer	313	5	MISRA12_8.8	8.8 The static storage class specifier shall be used in all declarations of objects and functions that have internal linkage		
"Keyword """"void"""" not used to denote empty parameter list for function setUpTimer"	setUpTimer	313	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Object or function setUpTimer, has external linkage but no visible declaration	setUpTimer	313	5	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Identifier setitimer, does not have a definition	setitimer	321	8	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Discarded Return Values	setUpTimer	321	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Identifier sigaction, does not have a definition	sigaction	325	8	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Discarded Return Values	setUpTimer	325	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
"Violation: basic numerical type """"int"""" used."	argc	329	13	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"char"""" used in """"char **""""."	argv	329	26	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	alienType	354	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used in """"int [4]""""."	points	356	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
/home/gabriele/projects/ninvaders-0.1.1/nInvaders.h							
Declaration or Definition of render is not compatible with another declaration or definition in file aliens.c on line 156	render	41	12	MISRA12_8.3	8.3 All declarations of an object or function shall use the same names and type qualifiers		
Declaration or Definition of main is not compatible with another declaration or definition in file nInvaders.c on line 329	main	39	4	MISRA12_8.3	8.3 All declarations of an object or function shall use the same names and type qualifiers		
Object or function render, has more than one declaration	render	41	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Object or function doScoring, has more than one declaration	doScoring	46	5	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Identifier game_over, does not have a definition	game_over	43	5	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Unused macro declaration RED_ALIEN_TYPE	RED_ALIEN_TYPE	35	8	MISRA12_2.5	2.5 A project should not contain unused macro declarations		
Unused macro declaration GREEN_ALIEN_TYPE	GREEN_ALIEN_TYPE	36	8	MISRA12_2.5	2.5 A project should not contain unused macro declarations		
Unused macro declaration BLUE_ALIEN_TYPE	BLUE_ALIEN_TYPE	37	8	MISRA12_2.5	2.5 A project should not contain unused macro declarations		
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
Include guards not used in file		25	1	MISRA12_4.10	Directive 4.10 Precautions shall be taken in order to prevent the contents of a header file being included more than once		
"Violation: basic numerical type """"int"""" used."	weite	49	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	level	50	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	skill_level	51	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	alienType	46	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	a	43	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	argc	39	13	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"char"""" used in """"char **""""."	argv	39	26	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function drawscore"	drawscore	44	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Object or function weite, has external linkage but no visible declaration	weite	49	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Object or function level, has external linkage but no visible declaration	level	50	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Object or function skill_level, has external linkage but no visible declaration	skill_level	51	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Declaration or Definition of doSleep is not compatible with another declaration or definition in file globals.c on line 44	doSleep	54	12	MISRA12_8.3	8.3 All declarations of an object or function shall use the same names and type qualifiers		
Improper parameter format for function doSleep; each parameter must have a type and a name	doSleep	54	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function showUsage"	showUsage	55	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function showVersion"	showVersion	56	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function showGplShort"	showGplShort	57	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function showGpl"	showGpl	58	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
/home/gabriele/projects/ninvaders-0.1.1/player.c							
Non distinct external identifier Player conflicts with entity Player in file player.c	Player	30	15	MISRA12_5.1	5.1 External identifiers shall be distinct		
Function or object player, has external linkage but is only used in the translation unit built from player.c.	player	41	7	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"C Global Object """"player"""" appears to have internal linkage within player.c, so static keyword should be used."	player	41	7	MISRA12_8.8	8.8 The static storage class specifier shall be used in all declarations of objects and functions that have internal linkage		
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
Identifier is typographically ambiguous to Player	player	41	7	MISRA12_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous		
"Violation: basic numerical type """"int"""" used."	posX	33	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	posY	34	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	speed	35	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	missileFired	36	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	missileX	37	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	missileY	38	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function playerReset"	playerReset	46	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Object or function player, has external linkage but no visible declaration	player	41	7	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
"Violation: basic numerical type """"int"""" used."	newPosX	69	27	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function playerMoveLeft"	playerMoveLeft	80	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerMoveRight"	playerMoveRight	96	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerTurboOn"	playerTurboOn	112	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerTurboOff"	playerTurboOff	121	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	playerHitCheck	130	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	hostileShotX	130	23	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	hostileShotY	130	41	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	fPlayerWasHit	132	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function playerLaunchMissile"	playerLaunchMissile	149	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerReloadMissile"	playerReloadMissile	163	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	playerMoveMissile	173	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function playerMoveMissile"	playerMoveMissile	173	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	fNoAliensLeft	175	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	alienTypeHit	176	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Non distinct external identifier playerExplode conflicts with entity playerLaunchMissile in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerMoveLeft in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerMoveMissile in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerMoveRight in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerReset in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerTurboOff in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerTurboOn in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerHitCheck in file player.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerClear in file view.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerDisplay in file view.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerExplosionDisplay in file view.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerMissileClear in file view.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerMissileDisplay in file view.c	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerInit in file player.h	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier playerExplode conflicts with entity playerMissileInit in file player.h	playerExplode	237	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
"Keyword """"void"""" not used to denote empty parameter list for function playerExplode"	playerExplode	237	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
/home/gabriele/projects/ninvaders-0.1.1/player.h							
Non unique internal identifier playerInit conflicts with entity playerInit in file view.c on line 56	playerInit	43	12	MISRA12_5.9	5.9 Identifiers that define objects or functions with internal linkage should be unique		
Non unique internal identifier playerMissileInit conflicts with entity playerMissileInit in file view.c on line 86	playerMissileInit	46	12	MISRA12_5.9	5.9 Identifiers that define objects or functions with internal linkage should be unique		
Object or function playerClear, has more than one declaration	playerClear	45	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Object or function playerDisplay, has more than one declaration	playerDisplay	44	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Object or function playerMissileClear, has more than one declaration	playerMissileClear	48	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Object or function playerMissileDisplay, has more than one declaration	playerMissileDisplay	47	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Identifier playerInit, does not have a definition	playerInit	43	12	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Identifier playerMissileInit, does not have a definition	playerMissileInit	46	12	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
Macro used for include guard is not unique		25	1	MISRA12_4.10	Directive 4.10 Precautions shall be taken in order to prevent the contents of a header file being included more than once		
"Violation: basic numerical type """"int"""" used."	playerHitCheck	37	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	playerMoveMissile	39	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	x	45	28	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	45	35	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	x	44	30	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	44	37	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	hostileShotX	37	23	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	hostileShotY	37	41	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	x	48	35	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	48	42	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	x	47	37	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	47	44	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function playerReset"	playerReset	31	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerMoveLeft"	playerMoveLeft	33	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerMoveRight"	playerMoveRight	34	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerTurboOn"	playerTurboOn	35	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerTurboOff"	playerTurboOff	36	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerLaunchMissile"	playerLaunchMissile	38	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerMoveMissile"	playerMoveMissile	39	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerExplode"	playerExplode	40	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerInit"	playerInit	43	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function playerMissileInit"	playerMissileInit	46	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Object or function playerExplosionDisplay, has more than one declaration	playerExplosionDisplay	49	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Violation: basic numerical type """"int"""" used."	x	49	39	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	49	46	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	x	50	36	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	50	43	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	alienType	52	26	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
/home/gabriele/projects/ninvaders-0.1.1/ufo.c							
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
"Violation: basic numerical type """"int"""" used."	fShowUfo	29	11	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function ufoReset"	ufoReset	34	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	posX	46	24	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function ufoMoveLeft"	ufoMoveLeft	58	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	ufoShowUfo	73	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function ufoShowUfo"	ufoShowUfo	73	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Identifier is typographically ambiguous to shotx	shotX	87	20	MISRA12_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous		
Identifier is typographically ambiguous to shoty	shotY	87	31	MISRA12_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous		
"Violation: basic numerical type """"int"""" used."	ufoHitCheck	87	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotX	87	20	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotY	87	31	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	fUfoWasHit	89	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
/home/gabriele/projects/ninvaders-0.1.1/ufo.h							
Non distinct external identifier Ufo conflicts with entity Ufo in file ufo.h	Ufo	30	15	MISRA12_5.1	5.1 External identifiers shall be distinct		
Object or function ufoDisplay, has more than one declaration	ufoDisplay	45	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Function or object ufo, has external linkage but is only used in the translation unit built from ufo.c.	ufo	37	4	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
Include guards not used in file		25	1	MISRA12_4.10	Directive 4.10 Precautions shall be taken in order to prevent the contents of a header file being included more than once		
Identifier is typographically ambiguous to UFO	Ufo	30	15	MISRA12_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous		
Identifier is typographically ambiguous to UFO	Ufo	30	19	MISRA12_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous		
Identifier is typographically ambiguous to UFO	ufo	37	4	MISRA12_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous		
"Violation: basic numerical type """"int"""" used."	ufoShowUfo	40	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	ufoHitCheck	42	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	posX	33	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	posY	34	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	x	45	27	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	45	34	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotX	42	20	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotY	42	31	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function ufoReset"	ufoReset	39	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function ufoShowUfo"	ufoShowUfo	40	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function ufoMoveLeft"	ufoMoveLeft	41	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
